"","rt1","rt2","rt3","rt4","rt5","rt6"
"154",1724,3340,1174,4820,2755,5179
"155",1911,2877,2475,1275,4047,2265
"156",1983,1747,2147,2496,1265,2132
"157",1747,1069,2773,1195,995,3010
"158",1544,1934,1338,1291,1084,1369
"159",1441,1528,1813,1501,1452,1543
"160",1238,1836,1159,941,448,1965
"161",779,1254,1286,1000,805,989
"162",1978,1426,1219,1635,1265,1082
"163",1457,1481,1314,1292,2092,1448
"164",1667,2334,1506,1315,1326,1655
"165",3636,2141,2091,5390,1367,5316
"166",2796,1391,1281,2090,1228,2329
"167",2812,2761,2325,1863,1988,1272
"168",1589,1999,890,1503,1152,1328
"169",3168,1918,5133,4888,3268,2645
"170",1676,2431,1758,1046,1309,2058
"171",1655,1325,1144,2599,1187,1213
"172",1689,1423,1146,1325,984,1227
"173",1390,1335,1157,1241,2828,1195
"174",1617,3326,2492,1509,1532,1606
"175",1617,1069,1360,1489,1637,1086
"176",1521,1167,1159,3066,1899,1554
"177",1330,1334,2302,1154,1756,1279
"178",1232,1800,1419,1860,1829,2653
"179",3065,1575,1755,2362,2654,1236
"180",4158,1714,2027,3272,1658,2363
"181",1736,1339,1609,1266,1661,1270
"182",1805,4035,2444,1631,2469,1659
"183",1501,1275,3310,1641,1600,1112
"184",1866,1374,1601,1916,1755,1664
"185",2013,1350,1333,1413,1732,2883
"186",2124,2125,2419,1962,2320,1869
"187",2625,3983,1471,2790,1802,1196
"188",2006,1515,1854,2050,2986,1512
"189",5527,2765,2661,2159,2551,1521
"190",2829,3071,1770,3045,1954,3112
"191",1379,2473,1443,1719,1407,1938
"192",2141,1750,1881,2005,1139,3886
"193",1970,2361,2608,2074,2439,2120
"194",2098,2502,4592,2696,2485,2443
"195",2148,1407,1058,2183,1784,1582
"196",1385,1552,2374,1986,2508,1976
"197",1445,2206,3454,1404,1834,2261
